DAY,영어,뜻
7,drip,n. (액체의) 떨어짐
7,modernist,"a. 모더니즘의, 근대주의의"
7,highlight ,v. 강조하다 
7,rear,n. 뒤쪽
7,interpretation ,n. 해석
7,intention,n. 의도
8,refer to ~,~을 나타내다
8,display,v. 전시하다; n. 전시
8,device ,n. 장치
8,format,"n. 형식, 구성 방식"
8,emerge,v. 등장하다
8,evolutionary ,a. 진화적인
8,progress,"n. 진보, 발전"
8,sharply ,"adv. 뚜렷하게, 분명하게"
8,contrast,v. 대조를 이루다
8,entirely,"adv. 전적으로, 완전히"
8,conventional,a. 전통적인
8,perspective,n. 관점
8,expand,v. 확장시키다 
8,territory ,"n. 영역, 분야"
8,edit,v. 편집하다
8,digitally,adv. 디지털 방식으로
8,incorporate,v. 포함하다
9,stylish ,"a. 세련된, 멋진, 스타일이 좋은"
9,dessert,n. 디저트
9,dip,v. 담그다
9,wonder,v. 궁금해하다
9,sweet ,"a. 상냥한, 친절한"
9,wrap,v. 포장하다
9,cloth,n. 천
9,throw ~ away,~을 버리다
9,reuse,v. 재사용하다
9,tie,v. 묶다
9,reusable,a. 재사용할 수 있는
9,naval,a. 해군의
9,battle,n. 전투
9,defeat,v. 패배시키다
9,leader,"n. 지도자, 리더"
9,named ~ ,~라는 이름의
9,admiral,"n. 해군 장성, 제독"
9,leadership,n. 리더십
9,strategy,n. 전략
9,force,"n. 군대, 병력"
9,victory,n. 승리
9,thrilled,"a. 크게 기뻐하는, 흥분된"
10,impressive,a. 인상 깊은
10,round ,a. 둥근
10,used to+동사원형,~하곤 했다
10,various,a. 다양한
10,dish,n. 요리
10,popularity,n. 인기
10,spread,v. 퍼뜨리다
10,influence,n. 영향력
10,attract,v. (관심 등을) 끌다
10,overseas,adv. 해외에서
10,secondary,"a. 부수적인, 부차적인"
10,reinforce,v. (시설?구조 등)을 보강하다
10,portrait,n. 초상화
10,support,v. 떠받치다
10,attach,v. 부착하다
10,original ,n. 원본
10,invaluable,a. 매우 귀중한
10,antique,n. 골동품
10,apply,"v. 쓰다, 적용하다"
10,preserve,v. 보존하다
10,decoration,n. 장식
